,title
1417,2205050050001878  notebook to store parquet files executing already for 60 hours.
1418,Clusters not coming up: Unexpected launch failure
1419,Unable to delete Private Endpoint connection in AzureDatabricksworkspaces- 220429003000055
1420,UI is limited for DBFS
1421,2205040030001887 | ARR | Job failure due to 'StreamingQueryException: next on empty iterator'
1422,Deprecating support for updating regions on Workspaces
1423,2204010030001987
1424,"Databricks execution failed with error state: InternalError, error message: Library installation failed for library due to infra fault. "
1425,Increase input rate for DLT
1426,"2205050030000380  When the same notebook runs with job cluster, it is not able to parse a particular xml block and returns NULL instead"
1427,Unable to start cluster
1428,Spark driver fails on write operation on Azure Synapse and failure in Azure Synapse connection to ADLS2 account
1429,FOLLOUP | ARR | 2204250060001035 | Error with union command saying object of type 'NoneType' has no len() only in DBR 9.1 LTS
1430,cluster
1431,"Jobs failing with ""Unexpected failure while waiting for the cluster"""
1432,2205050010000980_notebook is taking longer time
1433,Random issue running a query in Databricks
1434,Databricks doesn't use external metastore
1435,Unable to read table using spark sql
1436,java.util.NoSuchElementException 
1437,[ARR] [Sev B] SR-2204180030001121  query is running since 6 hours
1438,"Job failed intermittently with ""java.lang.ClassNotFoundException: com.crealytics.spark.excel.DefaultSource"""
1439,2202110030000509
1440,2205060030000527 
1441,one node in a bad status
1442,Getting 504 timeout error when using API to get list of groups/users
1443,Pycrypto installation failed using init script
1444,aws instances running non stop
1445,Error in delta table merge from SQL Endpoint
1446,2205050030000380
1447,Unable to read table using spark sql
1448,Caused by: org.rocksdb.RocksDBException: block checksum mismatch 
1449,2205060040000451
1450,[ARR][Job Aborted due to Stage Failure]
1451,Failed to open Delta Live Tables Pipeline page.UI related issue.(Continuation  of 00143631)
1452,[ARR] [Sev B] SR-2205050010002241 java.lang.OutOfMemoryError: GC overhead limit exceeded
1453,Databricks Job failures and hanging with no metrics/logs
1454,JDBC query connection issue
1455,[2205050050000182][Unable to download adal library]
1456,Databricks SQL Error
1457,4681 - ARR - American Airlines - Cluster getting bogged by GC
1458,POST and GET API calls for the custom entity xomuog_well are experiencing long latency issues. The API calls are originating from Microsoft Azure Databricks.  The databricks jobs that used to run in 20 minutes is now taking 18 hours
1459,Discrepancy in output of same SQL query when run in notebook against in DBSQL editor
1460,"First redirect to Help Center does not work, Second does"
1461,Terraform utilize generated token
1462,Clusters in all environments failing with
1463,8254154577522778 - 6c05363f-2a16-4591-8cf7-5da1b8247e46 - 2205050040007471
1464,Increase pinned cluster limit to 300
1465,"Driver shut down ,while XGBOOST training"
1466,ARR | 2204270030002047 - [Needs IST Support] Resource accidental deletion
1467,External hive metastore failing
1468,Access S3 bucket in different accounts
1469,ARR | 2204290030001039 - we are not able find log who deleted the databricks cluster
1470,Jobs can't be scheduled on the 30th or 31st of the month
1471,4681 - g - ARR - American Airlines - Cluster not shutting down as expected
1472,Hanging notebook. This is related to CASE NUMBER # 00144460
1473,7348 - g - ARR - H&R Block - Job failure
1474,POST and GET API calls for the custom entity xomuog_well are experiencing long latency issues. The API calls are originating from Microsoft Azure Databricks.  The databricks jobs that used to run in 20 minutes is now taking 18 hours.
1475,Cluster not getting terminated even when job is getting completed
1476,Clusters failing with internal Failures
1477,4310827714638474 - 934970a2-fedc-42dd-9240-1793428f4211 - 2205050040006329
1478,Notification not able to be disabled on status website
1479,Power BI connector not working
1480,Launch cluster failed on TEST environment 
1481,Access deleted cluster configuration
1482,All jobs in dx2 shard fail as Cancelled
1483,<<need EMEA engineer>>  missing MLflow Model Run
1484,User unable to validate git credentials
1485,7325620703232380 - 3377047f-02a8-4316-91eb-99afd67a0352 - 2205030040006573
1486,Repos Tab not Opening
1487,Ambiguous columns in join operation
1488,Issue with length of Job ID
1489,Scala not working
1490,ARR - AT&T - 2204290040002695 - Databricks job failing with sockettimeout error
1491,2205030040007110
1492,ARR |  gc allocation failure | 
1493,ARR Customer: UniParks - Databricks to storage/Synapse connection issue
1494,Production ETL job failing due to Connection refused error
1495,Databricks SQL Endpoint Access/Permissions issue
1496,Cluster lost at least one node. Reason: Communication lost
1497,Job failing with with 'spark cluster stopped unexpectedly' error
1498,Error while running the existing prod app on 10.4 cluster while its running fine with 6.4
1499,pre-populated list is not available in Data Explorer
1500,Serving a Keras Model with Custom Loss
1501,2205050050000703 Cx cannot clone and move a folder in workspace using UI
1502,customer interested in consultancy services
1503,PowerBI to Databricks connections
1504,Cluster bootstrap timeout
1505,Concurrent update failure to Delta
1506,ARR | issues with library importing | 2205020050000332
1507,Autoloader cloudfiles events by creation timestamp
1508,330372711545732 access
1509,Google Kubernetes Error
1510,ARR | 2204280040001718 | Cluster node are getting lost | JNJ
1511,Failed to find data source: tahoe.
1512,ARR | 2204260030001644 | Grant access control to mount point
1513,Notebooks are taking more time to complete than average time
1514,Please enable dbutils.secrets.get
1515,please help to confirm Job notification(alert) feature was deploy in Azure China
1516,2205050030000380
1517,worker cannot be registered to the driver
1518,Cluster (10.4) shuts off randomly
1519,Not able to export users' notebooks in this workspace
1520,Connectivity issue with AWS MSK cluster from AWS Databricks
1521,many jobs on the Scheduled Jobs cluster failing at the very beginning with 'Canceled' messaged
1522,CSS-ARR-SFMC-2203170040001201-ADB Cluster Hung Issue
1523,org.apache.spark.SparkException: Unable to fetch tables of db edl_dev_pd_publish
1524,The training process is idle 
1525,[ARR] [Sev B] SR-2205040030001061 DataframeReadError (Reason: worker lost)
1526,Follow up of- 00140935
1527,Discuss cluster detailed for a sepcific use-case
1528,char/varchar type length limitation after upgrading to 10.5 runtime
1529,2204180040002686
1530,AWS credentials authenticating error after upgrading to 10.5 runtime
1531, Deprecated Cluster Runtime 6.4 unable to hit API'S
1532,Launch Cluster Failure on PRD
1533,[ARR] [Sev C] SR-2204110030000414 RCA  continue to 00141951  cannot evaluate expression current_timestamp() 
1534,Databricks Issue
1535,FOLLOUP | ARR | 2205040030000589 | Metastore connection failure
1536,follow-up of SF # 00140194
1537,Case sensitivity difference in version 10.4 and 9.1
1538,iPython version issue
1539,2204150040004935 no package error despite package is intalled
1540,Unable to connect to Azure SQL DB
1541,"Share models across workspaces implementation giving ""403' error"
1542,"User or User Group Access Granted to All Scopes, All Jobs, and All Notebooks"
1543, 2204040040006958 
1544,Job failure in Databricks production due to import statement not found
1545,cant see clone folder option
1546,"Patient 360 - Production Job failure due to exception ""IllegalArgumentException"""
1547,2204040040006958  Cluster not able to run python notebook cell and struck for 65 hours holding cluster resources
1548,"Job failure due to exception ""IllegalArgumentException"""
1549,Vulnerability report shows a few issues
1550,Azure deployment in violation of the Microsoft Online Services Acceptable Use Policy
1551,Unable to use Grant SQL cmd.
1552,Multiple Library installation failure on prod cluster
1553,Unable to connect to Azure SQL DB- Saved
1554,Databricks cluster startup
1555,AirCanada - workspace 
1556,GENIE ACCESS
1557, POST and GET API calls for the custom entity xomuog_well are experiencing long latency issues. The API calls are originating from Microsoft Azure Databricks.  The databricks jobs that used to run in 20 minutes is now taking 18 hours
1558,Disable 'Create AutoML Experiment' Feature
1559,ARR Customer: Deloitte - Unable to Access Databricks Cluster 
1560, Query using odbc is getting stuck
1561,Queries running for a long time after adding spark config
1562,Job Failure
1563,Workspace Job Limit
1564,User is getting failure message in a legacy shard when connecting to the metastore.
1565,Job is running slower than usual and is failing with time out
1566,Editing clusters throwing errors
1567,"Enable ""Files in Repo"""
1568,S3 Access Issues since Monday 
1569,init script not getting installed while cluster creation using api
1570,_apply tables are appearing in target  metadata database;
1571,describe schema EXTENDED shows root as owner after changing the owner
1572,Error encounter in DLT pipeline while drop and recreate 
1573,SQL Endpoints not Starting
1574,Notebook not connecting to pipeline
1575,Regex for spark version in cluster policy doesn't work as expected
1576,Identity Column is generating Duplicates
1577,"ARR - SQL using a CTE that runs fine in Databricks Runtime 9.1 LTS Photon, but gives an error in 10.4 LTS Photon"
1578,ARR - Ganglia metrics not loading in Linux machine
1579,Read csv/zip files from Github
1580,Production Databricks Cluster Fails to Re-start
1581,Spark Job taking long hours to complete processing
1582,sending logs from databricks to AppInsights is not working
1583,Recommended way to deploy interactive dashboards
1584,broadcast the table that is larger than 8GB: 25 GB
1585,ARR Customer CIBCPTE - Azure SQL Procedure Execution in Databricks Notebook Failing 
1586,2205040030001055 |  ARR | Adobe 
1587,Follow up of Sf ticket 00143272
1588,limitations to replace our hive metastore with AWS Glue catalog
1589,Getting access denied when running job in R studio
1590,InvariantViolationException: Exceeds char/varchar type length limitation when try to create table
1591,Getting Error while creating Partition for table. 
1592,Follow up on case 00143345 | ARR SR# 2203040030000703
1593,Retrieve instance metadata IP address not working
1594,2205040030000342 | ARR | Unilever
1595,2205040030000342
1596,CSS-ARR-SR#2205040030000589-Jobs failing due to TCP/IP connection error
1597,"NBA: Job failed for intermediate pipeline due to ""UnknownHostException"" exception in Databricks"
1598,ARR | Databricks job running slow | 2205030040003955 
1599,Access Azure Synapse from Azure Databricks with SQLDW spark connector
1600,Issues with Delta Live APPLY CHANGES INTO
1601,Keep data table up to data
1602,Understanding on any impacts of enabling EBS SSD GP3
1603,2205040030000641 | Production jobs are aborted | Air Canada
1604,Docker image pull failure ECR
1605,Questions on the SCIM
1606,Problem with columns from autoloader reading
1607,UDF-based External Function not support on SQL Endpoints
1608,[ARR][AirCanada]
1609,Job failure
1610,Cluster is in terminated state and not available to receive jobs
1611,feature request(db connect using secret scopes)  Case
1612,Query profile is empty
1613,changing default timestamp for hive tables and databricks workspace to CET
1614,2205040030000575 
1615,User-specified schema incompatible with the schema  inferred from its query
1616,2205040030000361 
1617,[ARR] [Sev C] SR-2204110030000414 conf file is not read from global init script
1618,query failing
1619,DESC query failing with AmazonS3Exception
1620,Databricks: issue with Simba JDBC connector
1621,Cluster Terminated. Reason: Azure VM Extension failure
1622,CreateExternalLocation owner error
1623,Scheduled Dashboard not sending email after refreshing
1624,User is not able to query RedShift data
1625,Clusters terminates on startup and init script execution because of missing libssl.so
1626,Error downloading dbc archive
1627,Synapse Pipelines Failing
1628,7451881325335682 - 55bde1f0-8591-432c-a37f-5c1bdff8c2f8 - 2204280040000761
1629,ARR | Spark DataFrame Checkpoints under Table ACL - continuation of 00142979 - 2204200040005509
1630,Long running jobs workspace request
1631,Commands run very 
1632,Restoring a recently-deleted cluster
1633,Unable to access the Details Page of the Jobs runs
1634,2203170040008511
1635,1083652405284390 - 42c0910c-ba8d-4218-96f2-e8bbcfdb8dc0 - 2205030040005851
1636,GPU Cluster Terminated - GCP Resource Stockout
1637,Can not access https URL from databricks workspace (privatelink)
1638,Error: cannot read grants: got empty permissions list
1639,Error adding member to group
1640,6706 - ARR - AT&T - No new databricks secret scopes can be created by users. Max limit(100) on the workspace already reached. Can we please increase this limit.
1641,Databricks E2 Privatelink Endpoints - Pending Acceptance
1642,Terraform High Concurrency Cluster with Table ACL's on
1643,SQL endpoint error when running the same query in dashboard
1644,Cluster upgraded from 9.1 LTS to 10.4 and Code throwing an error on bit filter
1645,Unable to use pretrained models in Spark-NLP
1646,Cluster starting with an deregistered instance profile
1647,error message on main dbx dashboard
1648,Install requirements.txt libs using Jobs 2.1 API
1649,JDBC Connectivity from Tableau
1650,extension on trial
1651,Can't create jobs with ACL
1652,Issue connecting to Databricks non-prod environment via webUI
1653,Issue with FeatureStoreClient Python API when working with a string type Primary Key
1654,Could you please help understand the reason while is stuck
1655,databricks job running slower than expected
1656,Log delivery configuration using Terraform 
1657,Rename workspace 
1658,ARR - Sev A - Cluster terminated.Reason:Azure Vm Extension Failure
1659,ARR Customer CIBCPTE - Stored SQL Procedure Not working
1660,Adding Users through Okta Resets Group Entitlements
1661,Jobs stuck in SQL Endpoint
1662,Use YOLOV5 on Databricks
1663,Transaction Log Integrity Check Failure
1664,"Getting error ""Shuffle partition number too small"" when converting from 7.3 to 9.1 LTS"
1665,2204250040007007
1666,Cluster lost at least one node. Reason: Communication lost
1667,Support access
1668,ARR American Airlines - Customer requests assisance removing duplicates in Delta Table.
1669,Requesting guidance on Token Rotation mechanism
1670,Open a New Tab from Recents
1671,Read from Snowflake - Job aborted due to stage failure
1672,Read JSON/CSV files  from a Bitbucket repository that is directly connected to Databricks.
1673,Permission error while accessing files in the REPO
1674,2204210060006686
1675,ARR | delta table question | 2204220050000908
1676,Error connecting to Trino JDBC
1677," I got stuck to an error in data bricks , the error is ' Command result size exceeds limit: Exceeded 20971520 bytes (current = 20972463)'"
1678,Workspace network configuration Warning
1679,Unable to login from MacBook Pro
1680,changing default timestamp for hive tables and databricks workspace to CET
1681,changing default timestamp for hive tables and databricks workspace to CET
1682,ADF
1683,2204260030001439001
1684,ARR 2204110050002238  - Not able to connect to Databricks CLI using AAD token
1685,2204260030001439002 
1686,Databricks CLI does not accept PAT to authenticate
1687,Issue with databricks training set
1688,Duplicates when writing from Delta Live Table function
1689,Random issue running a query in Databricks
1690,"Facing ""PERMISSION_DENIED"" error while configuring audit log delivery"
1691,Migrate Instance profile from Databricks E1 to E2 in same AWS account
1692,Databricks - Cluster Upgrade with gdal
1693, Cannot control job creation access.
1694,Follow up case 00142110
1695,Question on DLT charge
1696,Follow up of 00141502
1697,SQLEndpoint creating nodes more than active
1698,Resource /subscriptions/a7bdf2e3-b855-4dda-ac93-047ff722cbbd/resourceGroups/DATABRICKS-RG-ODSDATABRICKS-LTBCKEX5EBCQW/providers/Microsoft.Network/networkInterfaces/AC576E96C57F4F5E908521AFA4000EA3-PRIVATENIC not found
1699,Does the version of databricks runtime must no less than the docker base version for it to run?
1700,L2 Align XPO PD Monthly dag failure -Photon ran out of memory 
1701,Job Failure due to skewed data in prod
1702,Failed to import git on cluster with docker image and ML Flow
1703,Huge Lag in performance in Notebook Navigation
1704,Facing issue with table metadata 
1705,Error al cargar tablas en el cluster
1706,Partition option preventing data insertion
1707,numpy failed to import in notebook
1708,update CMK for Managed Services and Storage for workspace ml-sandbox
1709,Update CMK for Managed Services and Storage for ml-us-dev workspace
1710,All-Purpose Cluster Is taking very long to Terminate
1711,Training Access for LTK Employees
1712,Delete old Non-E2 account
1713,1920 - g - ARR - AmericanAirlines - Job failure
1714,Accounts API Create Workspace call fails every time in new OEM Databricks account
1715,Add IP to allow list
1716,Email Databricks Dashboard has Empty Content
1717,"Sometimes, queries use Photon runtime run slower than one without Photon  "
1718,Databricks cluster startup - 2204250010002422
1719,Library
1720,SQL access
1721,User accounts went missing - now are corrupt?
1722,Geni Access Request
1723,2205020040005060
1724,Possible bug in JDBC driver
1725,cifs_utils / mounting windows network file share fails
1726,Overwatch Cost Report 
1727,Delta Live Tables with Autoloader
1728, production workspace folders are missing in buckets when comparing to POC workspace
1729,Databricks Upgrade v3.55
1730,too much delay between two micro batches
1731,Databricks clusters with DBR 7.3 are not connecting to the external metastore
1732,File corruption when saving to s3
1733,Migration from  DB 7.3 LTS and 9.1 LTS and Performance issue.
1734,Clarification on Databricks Managed Service Encryption & Access
1735,RDS error on control plane
1736,Pfizer - Databricks overwatch Cost metrics
1737,Need Help with Seperate work Spaces in the same accout?
1738,Follow up of ticket (00138914)
1739,Information Security - AWS Account 414351767826
1740,Streaming data processing getting stuck after few hours
1741,ARR | 2204280040006201 | reading data from snowflake connection 
1742,Metastore access issues.
1743, Unable to create empty delta tables in the ADLS stoarage
1744,abhilash-dp90
1745,2205020030000861
1746,Unable to create empty delta tables in the ADLS stoarage
1747,Unable to create empty delta tables in the ADLS stoarage
1748,2205020030000110  | Production jobs are failing with Argument not found error  |  AholdDelhaize.com
1749,load data from infludb in delta : looking for examples/advices
1750,Spark Job not progressing.
1751,ARR | T-Mobile USA | Reading to df got stuck | SR: 2205020040000453 
1752,Cluster startup takes more than 10mins
1753,ARR | 2204280030000731 - Delta lake ingestion from spark structured streaming is taking more time
1754,Faced [adb-dp-8081006549057212.12.azuredatabricks.net refused to connect] on Ganglia tabs except  [Main] table
1755,Databricks Latency 
1756,infer or extract columns from file path while using auto loader
1757,"The DevOps pipeline for databricks is failing. Hence, we need advise regarding this issue."
1758,Please help to get the VM service log for a succssful run.
1759, Unable to create empty delta tables in the ADLS stoarage
1760,2204280040001718
1761,json files without line delimiter
1762,Autoloader task getting stuck for 50 hours 
1763,Follow Up SF 00143076
1764,ARR |  T-Mobile USA | Job stuck at CREATE DF | SR: 2205020040000453 
1765,[ARR][Safeway][No Such Element]
1766,"Issues while switching to 10.4 LTS Photon enabled cluster, inserting unidentified charachters in delta tables."
1767,IP Allowlist for `atlassian` workspace
1768,Databricks: OutOfMemory Error
1769,[ARR] [Sev B] SR-2204080030001854 ExecutorLostFailure (executor 15 exited caused by one of the running tasks) Reason: Executor heartbeat timed out after 157195 ms
1770,2205020030000110
1771,geine 2204080030001854
1772,Jobs time out (follow up 00138978)
1773,How to connect to SFTP site from Azure Databricks
1774,ARR | 2204220060001879 | 
1775,Job is running from long time
1776,DESCRIBE HISTORY issues
1777,ARR - Sev A - Databricks notebook is stuck 
1778,2204290030000540
1779,Gnie
1780,2787931338254557 - 135d2085-e95f-4550-b69c-4b5ec0c17f9a - 2204300010000278
1781,Job status view is broken
1782,2204220060002557 - Databricks Notebook taking longer time moveing the data from ADLS to ADLS
1783,[ARR][Molina Healthcare][2204270040005587 ] In SQL endpoint  table created with distinct  and group by are not resulting into records
1784,Lock Delta tables and give SELECT on DYNAMIC VIEWS
1785,"After updating Cluster policy Spark environment variable, not able to update existing job"
1786,7441 - g - ARR - UHG - notebook failure
1787,Azure_185313d2-52ed-4afe-9699-a52268c0db4c’ cluster are running longer than expected--2204290030001366 
1788,Spark Job: ERROR TransportResponseHandler 
1789,ARR: multiple notebook run happening at the same time with different parameters:SR2204210060006686
1790,ARR: multiple notebook run happening at the same time with different parameters:SR2204210060006686
1791,Trigger.AvailableNow causing significant job delay compared to Trigger.Once
1792,2204270040000071
1793,Unable to Debug Failing Model Inference on Large Dataset
1794,7166646288419298 - 051ce839-3786-4339-b3fd-df3efda185de - 2204270040005587
1795,Flyway support
1796,Unable to connect to Azure SQL DB- Saved
1797,ODBC Configuration
1798,How does Spark calculate number of tasks/partitions for a query
1799,Mounting issue
1800,ARR- ATT - Job cluster running streaming job fails - 2204290040004745 
1801,ARR - 2204290040005232 - Servicio De Administración Tributaria - Spark job hung for over 6 hours
1802,Several of DI’s jobs threw errors related to S3 path issues
1803,4687776344032114 - db82b489-2461-4983-9f5a-61a13d431905 - 2204290040005232
1804,2204270030000780 | Streaming job slowness
1805,Databricks Job failed due to MySQL Lock
1806,Missing April bill
1807,Production process job that doesn't finish
1808,DLT UI Reverted to Beta Interface
1809,Workspace access cluster bit filter error
1810,Data access from Databricks SQL endpoint works incorrecly
1811,Not able to run Marquez java library on the cluster
1812,Jobs Failing
1813,Unable to launch Multi node Cluster
1814,Problem with a unresponsive Delta Live Tables UI when using 6 notebooks in a DLT-pipeline.
1815,Install Libraries from a private gitlab maven repository
1816,using petastorm with databricks connect
1817,Our self-hosted Databricks suddenly goes down
1818,Delta live tables not showing up under Jobs tab in Databricks--2204260040007692 
1819,2576137007542488 - 10280a44-7716-4c2a-8238-1b1796d4fde3 - 2204290040002695
1820,A/B Testing on Databricks
1821,Extreme slowness in the ETL jobs.
1822,unable to create Db and tables
1823,Permission Error on Sqla Cluster
1824, unable to create Db and tables
1825,Delta live table interface broken after databrick's code applied to ec2 workspace 
1826,Cluster spin-up Issue
1827,Databricks managed table on mounted container not deleting files on DROP command
1828,is_member function in python
1829,Databricks SQL dashboard
1830, Problem with a unresponsive Delta Live Tables UI when using 6 notebooks in a DLT-pipeline.
1831,By default stats are generated for the delta table while running optimize
1832,Cluster Starting Issue
1833,Databricks cluster creation failure on all subscription
1834,Ganglia Historical metrics snapshots issue
1835,Databricks cluster creation failure on all subscription
1836,Customer's job is facing Could not find ADLS Gen2 Token issue
1837,Ganglia Historical metrics snapshots issue
1838,Secrets stored in secret scope are visible using a for loop to print each character of the secret
1839,2204290030000035 Intermittent ModuleNotFoundError in databricks scheduled job
1840,Need access to create private workspace
1841,"many jobs fail with ""AzureCredentialNotFoundException: Could not find ADLS Gen2 Token"""""
1842,Query about Databricks Audit Logs
1843,Unclear user deletion workflow
1844,Gennie Access
1845,Jobs failing and cluster is being terminated
1846,2204280040006201
1847,Follow up ticket for 00143692 | MSFT case 2204270030000780 
1848,Databricks Notebook taking longer time moveing the data from ADLS to ADLS 
1849,Need to Trigger one ADB workspace from another ADB workspace
1850,ARR | Serv A | Adobe |Job failed due to OOM | SR: 2204290030000582
1851,Not able to open SQL UI on any other workspace
1852,Error loading to Synapse
1853,Public network access to Azure SQL Server required by Databricks ???
1854,2204290060000134 
1855,ARDA SANDBOX Cluster is not getting started
1856,CSS-ARR-2204190030001595_Cluster unable to accquire additional worker nodes in upscaling
1857,[ARR][Citrix][Guidance on PBI & SQL Analytics Endpoint Connection]
1858,Follow Up ticket 00141210 and we'd like to confirm the flow of creating secret scope
1859,[ARR]TrackingID#2204280040006568]Unable to Start a newly created Cluster
1860,Timeout error on redshift Data copy from Databricks
1861,[ARR]TrackingID#2204280040006568]Unable to Start a newly created Cluster
1862,2204290030000035
1863,"Job getting aborted due to Remote RPC client disassociated. Likely due to containers exceeding thresholds, or network issues. Check driver logs for WARN messages"
1864,"Getting error ""OperationalError: (psycopg2.OperationalError) SSL SYSCALL error: EOF detected """
1865,occasionally get error 'at least one column must be specified for the table'
1866,7896 - g - ARR - AlaskaAir - Failed job
1867,Informatica job is failing in Databricks
1868,ARR - Codelco - 2204280040004711 - High data ingestion from Eventhubs with no change in messages
1869,2204110040000576 | Private endpoint
1870,2204110040000576 | private endpoint
1871,Delta lake Merges & Spark Order By function Issue in Production 
1872,7763010224164137 - b8080fe8-25bc-47b2-85e7-fd02dd3aee1e - 2204280040004711
1873,Prod issues due to insertError - Network issues
1874,ETL failures
1875,ARR - follow-up to 00142942
1876,IMDSv2 Support
1877,Accessing AWS Location Services from Databricks using boto3
1878,setup SSO for our account console
1879,RepAI | Global temps failing in new shard
1880,Cannot run Job
1881,Checkpoint files not being deleted using Foreachbatch
1882,ARR | Exception: A master URL must be set in your configuration | 2204280030001723 
1883,ARR | AT&T | Delta tables showing latest partition alone
1884,Test case by Pablo
1885,3337075389283370 - 6b64b59f-432d-401e-b552-d855f1e1d2e0 - 2204060040002674
1886,Unable to delete users from https://accounts.cloud.databricks.com/users
1887,Inquiry on cluster downtime for changing node type
1888,Error in AWS S3  
1889,2204280040004704 | Delta partition
1890,AbstractMethodError while calling an UDAF  inherited from Collect in pyspark platform
1891,Photon Enabled Instances does not support IST timezone
1892,ARR 2203030050000273 -  Customer wants to understand failures and retries on Spark tasks
1893,Written pandas data can not be read outside Databricks
1894,MDH production process is getting failed 
1895,"Cell stuck in ""Running Command ..."""
1896,Issue in connecting to AWS Postgres Server proxy using SSL
1897,Audit log E1 account
1898,Facing Jackson Databind version Issue submitting Spark job in us-west-2 workspace
1899,Not able to access the ADLS (cagsensedevdatahgrbhxfi ) Container 'cagsense'through Databricks
1900,Cluster startup takes more than 10mins
1901,Clinical Operations -EU region S3 paths Access
1902,Random failures when trying to access mount path | ARR SR# 2203040030000703
1903,Add IP to allow list on shard003.cloud.databricks.com
1904,"Driver is up but is not responsive, likely due to GC."
1905,2204280050000779 Unable to read Delta after upgrading to DBR 10.4 LTS
1906,display(dataframe) never finishes 
1907,Notebook command shows 'Running command' but nothing seems to be happening
1908,Aws AMI image upgrade
1909,"2204260050001740 Cx is getting multiple errors: ""ParquetLocalityManager received split keys that do not exist"""
1910,Help in setting up customer-managed VPC
1911,questions about the spark submit and jar submit
1912,"Not implemented type for Arrow list to pandas: map<string, string> on DBR 9.1 LTS"
1913,2204270030000882 Databricks Blob Storage Cannot be reached lead to failure to clusters
1914,no access to unity catalog UI
1915,Job Failures
1916,ARR| HP Inc.| databricks-registry-webhooks |SR:2204270030001287 
1917,problem with usage of spark excel library in databricks
1918,Databricks API Gateway Timeout
1919,2204270030000561 |  Informatica | ARR
1920,ARR | 2204260030002207 |  Run result unavailable: job failed with error message Unexpected failure while waiting for the cluster (0426-153040-3azvvay4) to be ready.Cause Cluster 0426-153040-3azvvay4 is unusable since the driver is unhealthy
1921,AWS S3 Autoloader exception after a few run
1922,2204270030001493 
1923,ARR | SA Power Networks | Need to understand is there any potential security risk if we enable GCM in extra.security file | SR: 2204270030000738 
1924,CSS-ARR-S500-SR#2204280030000558-Unable to read the data from offset for eventhub using spark jobs
1925,2204270030000561
1926,Follow up case: 00143248
1927,6540 - g - ARR - American Airlines - Cluster not starting
1928,Consistent error on job 
1929,Databricks job failure - NPIP tunnel setup failure during launch
1930,ARR | SevA | 2204280040000761 | Job run for more than 9 hrs unexpectedly 
1931,autoscale
1932,[ARR] [Sev C] SR-2204140030001199-Compute usage details gathering
1933,Cluster terminated.Reason:Container launch failure
1934,Issue with S3 bucket connectivity from workspace
1935,[ARR] [Sev B] SR-2204250050001910 
1936,[ARR] SR-2204270050000908 DataBricks cluster performance issue
1937,Databricks SQL will not load at all in Safari
1938,Request to increase total number of workspace count
1939,0153 - g - ARR - Starbucks - Broadcast(hint) inner join performance issues
1940,We found error 'Failed to launch spark container on instance
1941, Python packag issue module 'lib' has no attribute 'X509_V_FLAG_CB_ISSUER_CHECK'
1942,2567 - ARR - ExxonMobile - Unable to access external storage from DeltaLive pipeline
1943,"7667 - ARR - jnj - Cluster taking very long time to start, and fails after 40 - 60 minutes"
1944,funtionality issue on SQL endpoint and ML cluster
1945,Databricks group terraform errors
1946,7677 - g - ARR - jnj - cluster not starting in time
1947,Use of Unity Catalog External Locations
1948,2567 - g - ARR - ExxonMobile - Unable to output Delta Live Table to Azure Storage Account
1949,New feature with Table Creation
1950,Photon plan invariant violated
1951,MLflow execution runs slower and slower over time
1952,Performance issues when querying RDS tables
1953,Job error out after few hours of executio
1954,Library Not Sticking to Cluster
1955,Facing issue while creating job in Databricks E2 shards
1956,ARR Customer: St Joseph - There is an issue with Databricks. we are not able to run any queries in Databricks workspace.
1957,Not able to create the new workspaces - GCP
1958,E2 Migration
1959,ARR Customer: St Joseph - There is an issue with Databricks. we are not able to run any queries in Databricks workspace
1960,Cluster autoscaling issue
1961,Follow-up ticket on previous 00140987
1962,SQL Endpoint: Failed to Load Tables Error
1963,AttributeError: module 'lib' has no attribute 'x509_V_flag_cd_issuer_check
1964,WebUI for notebook has issue with repo files with foreach and foreachBatch
1965,Environment Variables Provided by Databricks Secrets showing different results
1966,Error message “Automated clusters do not support autotermination”.
1967,Unable to delete resource
1968,2204220010000657 | Databricks capacity
1969,Cluster creation rejected
1970,"ARR Customer: Helmerich & Payne, Inc. - Databricks Cluster Driver is unhealthy"
1971,AttributeError: module ‘lib’ has no attribute ‘X509_V_FLAG_CB_ISSUER_CHECK’
1972,Databricks notebooks running longer - Billing
1973,Using arrays in a select statement is causing query errors
1974,SubnetWithNatGatewayAndBasicSkuResourceNotAllowed
1975,Job failing with io.delta.exceptions.MetadataChangedException 
1976,Databricks SQL Error
1977,Photon: SparkNoSuchElementException: Key  does not exist
1978,pip not installed error
1979,ARR | non-fatal Databricks write/ read operations to Azure Storage via AbfsClient |  2204200040006207
1980,Jobs get stuck while writing to a delta table
1981,Cannot convert parquet-partitioned table to DELTA
1982,Browser won't render the MLFlow experiment pages and run pages
1983,Cannot start a cluster 
1984,Substitute parameters dynamically in Job json
1985,problem overriding an output data
1986,Customer needs to delete 2 service principals from Standard Workspace
1987,2204270030001749 | Streaming job failure
1988,GPU cluster does not start at certain times of the day
1989,Prod jobs failing with library issues
1990,Notebook command shows 'Running command' but nothing seems to be happening
1991,SQL constantly fails after previously running successfully. 
1992,PYPI libray installation failed
1993,Nodes Lost Communication
1994,Cannot install with pip
1995,ARR | 2204110030000436 - cluster starting time is took longer time than usual
1996,Follow up ticket for 00142310
1997,CSS-ARR-2204270030000780-Spark streaming job taking approx. 800 seconds to execute. when 'Full GC' triggerred by the Databricks cluster.
